blockNumber,targetBlock,initialSeed,tokenId,createTokenSeed,timestamp,parentBlockId,parentBlockHash,difficulty,details,heroRarity
13762208,13762198,106655691742603281077322325089174923342992778343367653405662558899359923959822,7439837,12349885375927207198821109016395763691055809915589285811644799380974312973849061633122771756557649420438918572103411237655090974333097577593054602198091229,1640372107,13762207,0x9d31348f2f310bc56047b887e610db20daf799674fe4667c6dd9619efef007a2,2,159735408797738690668118771165,0
13762208,13762199,83753667958607922591411356019687905308472281972750015874380323329363122966454,7439838,9698012194215678721515687693408811524530490768663508489745088609440641729373953353714224584862303051416281501035822701523072183161594357111732633234146782,1640372107,13762207,0x9d31348f2f310bc56047b887e610db20daf799674fe4667c6dd9619efef007a2,2,199350704883689110077768304094,0
13762208,13762196,62080713241664643857824225421903109948679196911610799878451461909041459597858,7439836,7188455487595069625432043660591821367144230018514613884028795969662306918672191351333591764467810793056920085772952720632155632818634319442493966904296924,1640372107,13762207,0x9d31348f2f310bc56047b887e610db20daf799674fe4667c6dd9619efef007a2,2,7885762764932577746249720104412,1
13762209,13762199,83753667958607922591411356019687905308472281972750015874380323329363122966454,7439839,9698012194215678721515687693408811524530490768663508489745088609440641729373953353714224584862303051416281501035822701523072183161594357111732633234146783,1640372110,13762208,0x73b9305135de19e3a8847dc965c41f11ad5e8041527cf5ca428594a43ef8d96a,2,159736624734439071914417817055,0
13762209,13762201,60335445527670530689230330064707450137715367771568593448062046798226717849955,7439840,6986367292713256434057471370244290465400287951349991986650724735971777720263198672508272397217536847682534169681288171555464538326337778183309473231242720,1640372110,13762208,0x73b9305135de19e3a8847dc965c41f11ad5e8041527cf5ca428594a43ef8d96a,2,278577673819715690077520758240,0
13762210,13762201,60335445527670530689230330064707450137715367771568593448062046798226717849955,7439841,6986367292713256434057471370244290465400287951349991986650724735971777720263198672508272397217536847682534169681288171555464538326337778183309473231242721,1640372113,13762209,0x5edfaaa8a29661336d501981a9c1e3990e15733653a99ef53fca81c44f64265a,2,159734214003245306907769013729,0
13762211,13762199,83753667958607922591411356019687905308472281972750015874380323329363122966454,7439842,9698012194215678721515687693408811524530490768663508489745088609440641729373953353714224584862303051416281501035822701523072183161594357111732633234146786,1640372116,13762210,0x83028a62014aec98d87a752a675d187f45233f1631ae40aaa547748f608277ae,2,250008305275144893174652041528802,2
13762212,13762207,71100055484799224373137595881893354276150574181133673979364725499238135367586,7439844,8232823969474004597802670514655273958371375952078257937194013932407518126607597162260732786591503059358273838061466225656038223357701216187625831192954340,1640372119,13762211,0x95af28c06024bd5b33ef425c0d3dd887b6cd44574ba014763b884f90918f1706,2,199350703631580327277713524196,0
13762212,13762178,38450589594612650065049054036843861023622556685589919503197822113058683263078,7439845,4452274101566809531244636575458863687939147383653128434911786088354476486880219955158249391421358915605841396328162787005761793872381720525198683710522853,1640372119,13762211,0x95af28c06024bd5b33ef425c0d3dd887b6cd44574ba014763b884f90918f1706,2,80507261631309537588997621221,0
13762212,13762205,97565155621811153642930578834600994088764448188645859029708879993923747929071,7439843,11297273206213398981891742865594783119444414024386866756806647366654994566033535466293633844645860147376353683254199011137995853423364685781809227904419299,1640372119,13762211,0x95af28c06024bd5b33ef425c0d3dd887b6cd44574ba014763b884f90918f1706,2,278576444786946161004841633251,0
